ec_sensor_util_id,ec_util_date,ec_util_time,ec_util_current
R-UTL3-1,2023-06-30,07:54:57,73
R-UTL3-1,2023-06-21,17:14:27,2
R-UTL3-1,2023-07-15,09:51:40,50
R-UTL3-1,2023-06-23,14:24:51,109
R-UTL3-1,2023-07-11,08:22:25,59
R-UTL3-1,2023-06-21,15:00:03,59
R-UTL3-1,2023-06-23,09:52:36,82
R-UTL3-1,2023-07-12,18:37:01,83
R-UTL3-1,2023-06-28,18:53:48,109
R-UTL3-1,2023-07-30,14:37:47,85
R-UTL3-1,2023-07-06,11:22:06,47
R-UTL3-1,2023-07-02,16:17:08,61
R-UTL3-1,2023-07-28,07:17:55,41
R-UTL3-1,2023-06-13,09:29:12,16
R-UTL3-1,2023-06-30,11:30:23,17
R-UTL3-1,2023-06-13,14:25:55,14
R-UTL3-1,2023-06-21,13:36:48,88
R-UTL3-1,2023-07-03,08:06:00,99
R-UTL3-1,2023-06-23,11:03:19,4
R-UTL3-1,2023-06-11,10:02:07,93
R-UTL3-1,2023-06-24,18:58:23,105
R-UTL3-1,2023-07-26,16:28:31,116
R-UTL3-1,2023-07-08,14:55:42,80
R-UTL3-1,2023-06-02,13:37:39,0
R-UTL3-1,2023-07-14,16:10:25,71
R-UTL3-1,2023-06-10,10:22:38,38
R-UTL3-1,2023-06-11,09:07:20,88
R-UTL3-1,2023-06-03,07:53:03,20
R-UTL3-1,2023-06-12,10:53:29,23
R-UTL3-1,2023-07-25,13:12:19,102
