ec_sensor_acu_id,ec_acu_date,ec_acu_time,ec_acu_current
R-ACU2-2,2023-05-04,10:43:07,112
R-ACU2-10,2023-05-12,08:49:08,47
R-ACU2-9,2023-05-08,14:13:32,103
R-ACU2-7,2023-05-24,07:38:41,78
R-ACU2-10,2023-05-09,15:10:21,23
R-ACU2-12,2023-05-26,16:13:13,18
R-ACU2-5,2023-05-01,10:02:00,106
R-ACU2-8,2023-05-06,08:07:32,87
R-ACU2-12,2023-05-21,12:09:55,17
R-ACU2-5,2023-05-28,07:01:54,5
R-ACU2-8,2023-05-28,12:08:24,23
R-ACU2-9,2023-05-11,07:27:58,105
R-ACU2-7,2023-05-26,12:52:23,34
R-ACU2-6,2023-05-04,12:25:48,64
R-ACU2-14,2023-05-15,14:17:11,27
R-ACU2-8,2023-05-22,08:57:36,35
R-ACU2-1,2023-05-17,16:29:59,119
R-ACU2-2,2023-05-16,17:22:52,27
R-ACU2-9,2023-05-05,16:31:35,8
R-ACU2-2,2023-05-09,15:49:20,29
R-ACU2-7,2023-05-21,12:56:07,0
R-ACU2-8,2023-05-07,09:45:43,60
R-ACU2-12,2023-05-25,07:17:50,93
R-ACU2-8,2023-05-01,18:22:24,7
R-ACU2-5,2023-05-18,15:41:59,1
R-ACU2-1,2023-05-22,12:24:00,77
R-ACU2-8,2023-05-20,17:23:02,45
R-ACU2-8,2023-05-08,16:32:51,101
R-ACU2-6,2023-05-16,10:36:02,100
R-ACU2-1,2023-05-07,10:58:20,98
R-ACU2-1,2023-05-26,15:37:02,103
R-ACU2-1,2023-05-10,18:32:53,117
R-ACU2-13,2023-05-07,18:47:13,16
R-ACU2-14,2023-05-05,07:51:11,0
R-ACU2-8,2023-05-04,16:00:50,99
R-ACU2-13,2023-05-06,15:15:04,35
R-ACU2-13,2023-05-21,12:13:53,68
R-ACU2-1,2023-05-30,12:56:33,97
R-ACU2-14,2023-05-25,17:26:01,107
R-ACU2-9,2023-05-02,18:28:01,0
R-ACU2-8,2023-05-26,13:59:12,91
R-ACU2-9,2023-05-25,16:54:15,27
R-ACU2-8,2023-05-10,12:52:00,113
R-ACU2-6,2023-05-14,08:53:39,8
R-ACU2-7,2023-05-17,13:52:58,73
R-ACU2-4,2023-05-09,14:29:38,48
R-ACU2-7,2023-05-06,09:57:13,119
R-ACU2-9,2023-05-27,07:52:35,0
R-ACU2-9,2023-05-30,11:48:47,101
